ime,datum_rojstva,leto_rojstva,država_rojstva,dan_smrti,leto_smrti,država_smrti,področje_nagrade,leto_nagrade
Denis Mukwege,1 March,1955,Democratic Republic of the Congo,/,/,/,Peace,2018
Nadia Murad Basee Taha,10 March,1993,Iraq,/,/,/,Peace,2018
Abiy Ahmed Ali,15 August,1976,Ethiopia,/,/,/,Peace,2019
World Food Programme (WFP),/,/,/,/,/,/,Peace,2020
Dmitry Andreyevich Muratov,29 October,1961,Russia,/,/,/,Peace,2021
Maria Ressa,2 October,1963,Philippines,/,/,/,Peace,2021
Ales Bialiatski,25 September,1962,Russia,/,/,/,Peace,2022
Center for Civil Liberties,/,/,/,/,/,/,Peace,2022
Memorial,/,/,/,/,/,/,Peace,2022
Narges Mohammadi,21 April,1972,Iran,/,/,/,Peace,2023
Nihon Hidankyo,/,/,/,/,/,/,Peace,2024
Maria Corina Machado,/,1967,Venezuela,/,/,/,Peace,2025
Wilhelm Conrad Röntgen,27 March,1845,Germany,10 February,1923,Germany,Physics,1901
Hendrik Antoon Lorentz,18 July,1853,the Netherlands,4 February,1928,the Netherlands,Physics,1902
Pieter Zeeman,25 May,1865,the Netherlands,9 October,1943,the Netherlands,Physics,1902
Antoine Henri Becquerel,15 December,1852,France,25 August,1908,France,Physics,1903
"Marie Curie, née Skłodowska",7 November,1867,Poland,4 July,1934,France,Physics,1903
Pierre Curie,15 May,1859,France,19 April,1906,France,Physics,1903
Lord Rayleigh (John William Strutt),12 November,1842,United Kingdom,30 June,1919,United Kingdom,Physics,1904
Philipp Eduard Anton von Lenard,7 June,1862,Slovakia,20 May,1947,Germany,Physics,1905
Joseph John Thomson,18 December,1856,United Kingdom,30 August,1940,United Kingdom,Physics,1906
Albert Abraham Michelson,19 December,1852,Poland,9 May,1931,USA,Physics,1907
Gabriel Lippmann,16 August,1845,Luxembourg,13 July,1921,/,Physics,1908
Karl Ferdinand Braun,6 June,1850,Germany,20 April,1918,USA,Physics,1909
Guglielmo Marconi,25 April,1874,Italy,20 July,1937,Italy,Physics,1909
Johannes Diderik van der Waals,23 November,1837,the Netherlands,8 March,1923,the Netherlands,Physics,1910
Wilhelm Wien,13 January,1864,Russia,30 August,1928,Germany,Physics,1911
Nils Gustaf Dalén,30 November,1869,Sweden,9 December,1937,Sweden,Physics,1912
Heike Kamerlingh Onnes,21 September,1853,the Netherlands,21 February,1926,the Netherlands,Physics,1913
Max von Laue,9 October,1879,Germany,23 April,1960,Germany,Physics,1914
Sir William Henry Bragg,2 July,1862,United Kingdom,12 March,1942,United Kingdom,Physics,1915
William Lawrence Bragg,31 March,1890,Australia,1 July,1971,United Kingdom,Physics,1915
Charles Glover Barkla,7 June,1877,United Kingdom,23 October,1944,Scotland,Physics,1917
Max Karl Ernst Ludwig Planck,23 April,1858,Germany,4 October,1947,Germany,Physics,1918
Johannes Stark,15 April,1874,Germany,21 June,1957,Germany,Physics,1919
Charles Edouard Guillaume,15 February,1861,Switzerland,13 June,1938,France,Physics,1920
Albert Einstein,14 March,1879,Germany,18 April,1955,USA,Physics,1921
Niels Henrik David Bohr,7 October,1885,Denmark,18 November,1962,Denmark,Physics,1922
Robert Andrews Millikan,22 March,1868,USA,19 December,1953,USA,Physics,1923
Karl Manne Georg Siegbahn,3 December,1886,Sweden,26 September,1978,Sweden,Physics,1924
James Franck,26 August,1882,Germany,21 May,1964,Germany,Physics,1925
Gustav Ludwig Hertz,22 July,1887,Germany,30 October,1975,Germany,Physics,1925
Jean Baptiste Perrin,30 September,1870,France,17 April,1942,USA,Physics,1926
Arthur Holly Compton,10 September,1892,USA,15 March,1962,USA,Physics,1927
Charles Thomson Rees Wilson,14 February,1869,Scotland,15 November,1959,Scotland,Physics,1927
Owen Willans Richardson,26 April,1879,United Kingdom,15 February,1959,United Kingdom,Physics,1928
Prince Louis-Victor Pierre Raymond de Broglie,15 August,1892,France,19 March,1987,France,Physics,1929
Sir Chandrasekhara Venkata Raman,7 November,1888,India,21 November,1970,India,Physics,1930
Werner Karl Heisenberg,5 December,1901,Germany,1 February,1976,Germany,Physics,1932
Paul Adrien Maurice Dirac,8 August,1902,United Kingdom,20 October,1984,USA,Physics,1933
Erwin Schrödinger,12 August,1887,Austria,4 January,1961,Austria,Physics,1933
James Chadwick,20 October,1891,United Kingdom,24 July,1974,United Kingdom,Physics,1935
Carl David Anderson,3 September,1905,USA,11 January,1991,USA,Physics,1936
Victor Franz Hess,24 June,1883,Austria,17 December,1964,USA,Physics,1936
Clinton Joseph Davisson,22 October,1881,USA,1 February,1958,USA,Physics,1937
George Paget Thomson,3 May,1892,United Kingdom,10 September,1975,United Kingdom,Physics,1937
Enrico Fermi,29 September,1901,Italy,28 November,1954,USA,Physics,1938
Ernest Orlando Lawrence,8 August,1901,USA,27 August,1958,USA,Physics,1939
Otto Stern,17 February,1888,Poland,17 August,1969,USA,Physics,1943
Isidor Isaac Rabi,29 July,1898,Poland,11 January,1988,USA,Physics,1944
Wolfgang Pauli,25 April,1900,Austria,15 December,1958,Switzerland,Physics,1945
Percy Williams Bridgman,21 April,1882,USA,20 August,1961,USA,Physics,1946
Sir Edward Victor Appleton,6 September,1892,United Kingdom,21 April,1965,Scotland,Physics,1947
Patrick Maynard Stuart Blackett,18 November,1897,United Kingdom,13 July,1974,United Kingdom,Physics,1948
Hideki Yukawa,23 January,1907,Japan,8 September,1981,Japan,Physics,1949
Cecil Frank Powell,5 December,1903,United Kingdom,9 August,1969,Italy,Physics,1950
Sir John Douglas Cockcroft,27 May,1897,United Kingdom,18 September,1967,United Kingdom,Physics,1951
Ernest Thomas Sinton Walton,6 October,1903,Ireland,25 June,1995,Northern Ireland,Physics,1951
Felix Bloch,23 October,1905,Switzerland,10 September,1983,Switzerland,Physics,1952
Edward Mills Purcell,30 August,1912,USA,7 March,1997,USA,Physics,1952
Frits Zernike,16 July,1888,the Netherlands,10 March,1966,the Netherlands,Physics,1953
Max Born,11 December,1882,Poland,5 January,1970,Germany,Physics,1954
Walther Bothe,8 January,1891,Germany,8 February,1957,Germany,Physics,1954
Polykarp Kusch,26 January,1911,Germany,20 March,1993,USA,Physics,1955
Willis Eugene Lamb,12 July,1913,USA,15 May,2008,USA,Physics,1955
John Bardeen,23 May,1908,USA,30 January,1991,USA,Physics,1956
Walter Houser Brattain,10 February,1902,China,13 October,1987,USA,Physics,1956
William Bradford Shockley,13 February,1910,United Kingdom,12 August,1989,USA,Physics,1956
Tsung-Dao (T.D.) Lee,24 November,1926,China,4 August,2024,USA,Physics,1957
Chen Ning Yang,22 September,1922,China,18 October,2025,China,Physics,1957
Pavel Alekseyevich Cherenkov,28 July,1904,Russia,6 January,1990,Russia,Physics,1958
Il´ja Mikhailovich Frank,23 October,1908,Russia,22 June,1990,Russia,Physics,1958
Igor Yevgenyevich Tamm,8 July,1895,Russia,12 April,1971,Russia,Physics,1958
Owen Chamberlain,10 July,1920,USA,28 February,2006,USA,Physics,1959
Emilio Gino Segrè,1 February,1905,Italy,22 April,1989,USA,Physics,1959
Donald Arthur Glaser,21 September,1926,USA,28 February,2013,USA,Physics,1960
Robert Hofstadter,5 February,1915,USA,17 November,1990,USA,Physics,1961
Rudolf Ludwig Mössbauer,31 January,1929,Germany,14 September,2011,/,Physics,1961
Lev Davidovich Landau,22 January,1908,Azerbaijan,1 April,1968,Russia,Physics,1962
J. Hans D. Jensen,25 June,1907,Germany,11 February,1973,Germany,Physics,1963
Maria Goeppert Mayer,28 June,1906,Poland,20 February,1972,USA,Physics,1963
Eugene Paul Wigner,17 November,1902,Hungary,1 January,1995,USA,Physics,1963
Nicolay Gennadiyevich Basov,14 December,1922,Russia,1 July,2001,Russia,Physics,1964
Aleksandr Mikhailovich Prokhorov,11 July,1916,Australia,8 January,2002,Russia,Physics,1964
Charles Hard Townes,28 July,1915,USA,27 January,2015,USA,Physics,1964
Richard P. Feynman,11 May,1918,USA,15 February,1988,USA,Physics,1965
Julian Schwinger,12 February,1918,USA,16 July,1994,USA,Physics,1965
Sin-Itiro Tomonaga,31 March,1906,Japan,8 July,1979,Japan,Physics,1965
Alfred Kastler,3 May,1902,France,7 January,1984,France,Physics,1966
Hans Albrecht Bethe,2 July,1906,France,6 March,2005,USA,Physics,1967
Luis Walter Alvarez,13 June,1911,USA,1 September,1988,USA,Physics,1968
Murray Gell-Mann,15 September,1929,USA,24 May,2019,USA,Physics,1969
Hannes Olof Gösta Alfvén,30 May,1908,Sweden,2 April,1995,Sweden,Physics,1970
Louis Eugène Félix Néel,22 November,1904,France,17 November,2000,France,Physics,1970
Dennis Gabor,5 June,1900,Hungary,8 February,1979,United Kingdom,Physics,1971
John Bardeen,23 May,1908,USA,30 January,1991,USA,Physics,1972
Leon Neil Cooper,28 February,1930,USA,23 October,2024,USA,Physics,1972
John Robert Schrieffer,31 May,1931,USA,27 July,2019,USA,Physics,1972
Leo Esaki,12 March,1925,Japan,/,/,/,Physics,1973
Ivar Giaever,5 April,1929,Norway,20 June,2025,USA,Physics,1973
Brian David Josephson,4 January,1940,United Kingdom,/,/,/,Physics,1973
Antony Hewish,11 May,1924,United Kingdom,13 September,2021,/,Physics,1974
Sir Martin Ryle,27 September,1918,United Kingdom,14 October,1984,United Kingdom,Physics,1974
Aage Niels Bohr,19 June,1922,Denmark,8 September,2009,Denmark,Physics,1975
Ben Roy Mottelson,9 July,1926,USA,13 May,2022,/,Physics,1975
Leo James Rainwater,9 December,1917,USA,31 May,1986,USA,Physics,1975
Burton Richter,22 March,1931,USA,18 July,2018,USA,Physics,1976
Samuel Chao Chung Ting,27 January,1936,USA,/,/,/,Physics,1976
Philip Warren Anderson,13 December,1923,USA,29 March,2020,USA,Physics,1977
Sir Nevill Francis Mott,30 September,1905,United Kingdom,8 August,1996,United Kingdom,Physics,1977
John Hasbrouck Van Vleck,13 March,1899,USA,27 October,1980,USA,Physics,1977
Pyotr Leonidovich Kapitsa,9 July,1894,Russia,8 April,1984,Russia,Physics,1978
Arno Allan Penzias,26 April,1933,Germany,22 January,2024,USA,Physics,1978
Robert Woodrow Wilson,10 January,1936,USA,/,/,/,Physics,1978
Sheldon Lee Glashow,5 December,1932,USA,/,/,/,Physics,1979
Abdus Salam,29 January,1926,Pakistan,21 November,1996,United Kingdom,Physics,1979
Steven Weinberg,3 May,1933,USA,23 July,2021,USA,Physics,1979
James Watson Cronin,29 September,1931,USA,25 August,2016,USA,Physics,1980
Val Logsdon Fitch,10 March,1923,USA,5 February,2015,USA,Physics,1980
Nicolaas Bloembergen,11 March,1920,the Netherlands,5 September,2017,USA,Physics,1981
Arthur Leonard Schawlow,5 May,1921,USA,28 April,1999,USA,Physics,1981
Kai M. Siegbahn,20 April,1918,Sweden,20 July,2007,Sweden,Physics,1981
Kenneth G. Wilson,8 June,1936,USA,15 June,2013,USA,Physics,1982
Subrahmanyan Chandrasekhar,19 October,1910,Pakistan,21 August,1995,USA,Physics,1983
William Alfred Fowler,9 August,1911,USA,14 March,1995,USA,Physics,1983
Simon van der Meer,24 November,1925,the Netherlands,4 March,2011,Switzerland,Physics,1984
Carlo Rubbia,31 March,1934,Italy,/,/,/,Physics,1984
Klaus von Klitzing,28 June,1943,Poland,/,/,/,Physics,1985
Gerd Binnig,20 July,1947,Germany,/,/,/,Physics,1986
Heinrich Rohrer,6 June,1933,Switzerland,16 May,2013,Switzerland,Physics,1986
Ernst Ruska,25 December,1906,Germany,27 May,1988,Germany,Physics,1986
J. Georg Bednorz,16 May,1950,Germany,/,/,/,Physics,1987
K. Alexander Müller,20 April,1927,Switzerland,9 January,2023,Switzerland,Physics,1987
Leon M. Lederman,15 July,1922,USA,3 October,2018,USA,Physics,1988
Melvin Schwartz,2 November,1932,USA,28 August,2006,USA,Physics,1988
Jack Steinberger,25 May,1921,Germany,12 December,2020,Switzerland,Physics,1988
Hans G. Dehmelt,9 September,1922,Germany,7 March,2017,USA,Physics,1989
Wolfgang Paul,10 August,1913,Germany,7 December,1993,Germany,Physics,1989
Norman F. Ramsey,27 August,1915,USA,4 November,2011,USA,Physics,1989
Jerome I. Friedman,28 March,1930,USA,/,/,/,Physics,1990
Henry W. Kendall,9 December,1926,USA,15 February,1999,USA,Physics,1990
Richard E. Taylor,2 November,1929,Canada,22 February,2018,USA,Physics,1990
Pierre-Gilles de Gennes,24 October,1932,France,18 May,2007,France,Physics,1991
Georges Charpak,1 August,1924,Poland,29 September,2010,France,Physics,1992
Russell A. Hulse,28 November,1950,USA,/,/,/,Physics,1993
Joseph H. Taylor Jr.,29 March,1941,USA,/,/,/,Physics,1993
Bertram N. Brockhouse,15 July,1918,Canada,13 October,2003,Canada,Physics,1994
Clifford G. Shull,23 September,1915,USA,31 March,2001,USA,Physics,1994
Martin L. Perl,24 June,1927,USA,30 September,2014,USA,Physics,1995
Frederick Reines,16 March,1918,USA,26 August,1998,USA,Physics,1995
David M. Lee,20 January,1931,USA,/,/,/,Physics,1996
Douglas D. Osheroff,1 August,1945,USA,/,/,/,Physics,1996
Robert C. Richardson,26 June,1937,USA,19 February,2013,USA,Physics,1996
Steven Chu,28 February,1948,USA,/,/,/,Physics,1997
Claude Cohen-Tannoudji,1 April,1933,Algeria,/,/,/,Physics,1997
William D. Phillips,5 November,1948,USA,/,/,/,Physics,1997
Robert B. Laughlin,1 November,1950,USA,/,/,/,Physics,1998
Horst L. Störmer,6 April,1949,Germany,/,/,/,Physics,1998
Daniel C. Tsui,28 February,1939,China,/,/,/,Physics,1998
Gerardus't Hooft,5 July,1946,the Netherlands,/,/,/,Physics,1999
Martinus J.G. Veltman,27 June,1931,the Netherlands,4 January,2021,the Netherlands,Physics,1999
Zhores I. Alferov,15 March,1930,Belarus,1 March,2019,Russia,Physics,2000
Jack S. Kilby,8 November,1923,USA,20 June,2005,USA,Physics,2000
Herbert Kroemer,25 August,1928,Germany,8 March,2024,/,Physics,2000
Eric A. Cornell,19 December,1961,USA,/,/,/,Physics,2001
Wolfgang Ketterle,21 October,1957,Germany,/,/,/,Physics,2001
Carl E. Wieman,26 March,1951,USA,/,/,/,Physics,2001
Raymond Davis Jr.,14 October,1914,USA,31 May,2006,USA,Physics,2002
Riccardo Giacconi,6 October,1931,Italy,16 December,2018,USA,Physics,2002
Masatoshi Koshiba,19 September,1926,Japan,12 November,2020,Japan,Physics,2002
Alexei Alexeyevich Abrikosov,25 June,1928,Russia,29 March,2017,/,Physics,2003
Vitaly Lazarevich Ginzburg,4 October,1916,Russia,8 November,2009,/,Physics,2003
Anthony J. Leggett,26 March,1938,United Kingdom,8 March,2026,/,Physics,2003
David J. Gross,19 February,1941,USA,/,/,/,Physics,2004
H. David Politzer,31 August,1949,USA,/,/,/,Physics,2004
Frank Wilczek,15 May,1951,USA,/,/,/,Physics,2004
Roy J. Glauber,1 September,1925,USA,26 December,2018,USA,Physics,2005
John L. Hall,21 August,1934,USA,/,/,/,Physics,2005
Theodor W. Hänsch,30 October,1941,Germany,/,/,/,Physics,2005
John C. Mather,7 August,1946,USA,/,/,/,Physics,2006
George F. Smoot,20 February,1945,USA,18 September,2025,France,Physics,2006
Albert Fert,7 March,1938,France,/,/,/,Physics,2007
Peter Grünberg,18 May,1939,Czech Republic,9 April,2018,Germany,Physics,2007
Makoto Kobayashi,7 April,1944,Japan,/,/,/,Physics,2008
Toshihide Maskawa,7 February,1940,Japan,23 July,2021,Japan,Physics,2008
Yoichiro Nambu,18 January,1921,Japan,5 July,2015,Japan,Physics,2008
Willard S. Boyle,19 August,1924,Canada,7 May,2011,Canada,Physics,2009
Charles Kuen Kao,4 November,1933,China,23 September,2018,N/A,Physics,2009
George E. Smith,10 May,1930,USA,28 May,2025,USA,Physics,2009
Andre Geim,21 October,1958,Russia,/,/,/,Physics,2010
Konstantin Novoselov,23 August,1974,Russia,/,/,/,Physics,2010
Saul Perlmutter,/,1959,USA,/,/,/,Physics,2011
Adam G. Riess,16 December,1969,USA,/,/,/,Physics,2011
Brian P. Schmidt,24 February,1967,USA,/,/,/,Physics,2011
Serge Haroche,11 September,1944,Morocco,/,/,/,Physics,2012
David J. Wineland,24 February,1944,USA,/,/,/,Physics,2012
François Englert,6 November,1932,Belgium,18 June,2026,Belgium,Physics,2013
Peter W. Higgs,29 May,1929,United Kingdom,8 April,2024,Scotland,Physics,2013
Isamu Akasaki,30 January,1929,Japan,1 April,2021,Japan,Physics,2014
Hiroshi Amano,11 September,1960,Japan,/,/,/,Physics,2014
Shuji Nakamura,22 May,1954,Japan,/,/,/,Physics,2014
Takaaki Kajita,9 March,1959,Japan,/,/,/,Physics,2015
Arthur B. McDonald,29 August,1943,Canada,/,/,/,Physics,2015
F. Duncan M. Haldane,14 September,1951,United Kingdom,/,/,/,Physics,2016
J. Michael Kosterlitz,22 June,1943,United Kingdom,/,/,/,Physics,2016
David J. Thouless,21 September,1934,United Kingdom,6 April,2019,United Kingdom,Physics,2016
Barry C. Barish,27 January,1936,USA,/,/,/,Physics,2017
Kip S. Thorne,1 June,1940,USA,/,/,/,Physics,2017
Rainer Weiss,29 September,1932,Germany,25 August,2025,USA,Physics,2017
Arthur Ashkin,2 September,1922,USA,21 September,2020,USA,Physics,2018
Gérard Mourou,22 June,1944,France,/,/,/,Physics,2018
Donna Strickland,27 May,1959,Canada,/,/,/,Physics,2018
Michel Mayor,12 January,1942,Switzerland,/,/,/,Physics,2019
James Peebles,25 April,1935,Canada,/,/,/,Physics,2019
Didier Queloz,23 February,1966,Switzerland,/,/,/,Physics,2019
Reinhard Genzel,24 March,1952,Germany,/,/,/,Physics,2020
Andrea Ghez,16 June,1965,USA,/,/,/,Physics,2020
Roger Penrose,8 August,1931,United Kingdom,/,/,/,Physics,2020
Klaus Hasselmann,25 October,1931,Germany,/,/,/,Physics,2021
Syukuro Manabe,21 September,1931,Japan,/,/,/,Physics,2021
Giorgio Parisi,4 August,1948,Italy,/,/,/,Physics,2021
Alain Aspect,15 June,1947,France,/,/,/,Physics,2022
John F. Clauser,1 December,1942,USA,/,/,/,Physics,2022
Anton Zeilinger,20 May,1945,Austria,/,/,/,Physics,2022
Pierre Agostini,23 July,1941,Tunisia,/,/,/,Physics,2023
Ferenc Krausz,17 May,1962,Hungary,/,/,/,Physics,2023
Anne L’Huillier,16 August,1958,France,/,/,/,Physics,2023
Geoffrey Hinton,6 December,1947,United Kingdom,/,/,/,Physics,2024
John J. Hopfield,15 July,1933,USA,/,/,/,Physics,2024
John Clarke,/,1942,United Kingdom,/,/,/,Physics,2025
Michel H. Devoret,/,1953,France,/,/,/,Physics,2025
John M. Martinis,/,1958,/,/,/,/,Physics,2025
